normalization,graph_file,graph_stem,graph_path,status,labelled_supernodes,num_supernodes,labeled_summary_graph_path,summary_graph_path,model_name,temperature,label_scheme
,064.pt,064,dataset/analogies/064.pt,ok,14,16,labeled_summary/entmax/alpha_0.50/node_0.02/064_labeled_summary_graph.pt,summary_graphs/entmax/alpha_0.50/node_0.02/064_summary_graph.pt,gemma-4-31b-it,0.2,one_pass
,065.pt,065,dataset/analogies/065.pt,ok,12,16,labeled_summary/entmax/alpha_0.50/node_0.02/065_labeled_summary_graph.pt,summary_graphs/entmax/alpha_0.50/node_0.02/065_summary_graph.pt,gemma-4-31b-it,0.2,one_pass
,066.pt,066,dataset/analogies/066.pt,ok,10,15,labeled_summary/entmax/alpha_0.50/node_0.02/066_labeled_summary_graph.pt,summary_graphs/entmax/alpha_0.50/node_0.02/066_summary_graph.pt,gemma-4-31b-it,0.2,one_pass
,067.pt,067,dataset/analogies/067.pt,ok,15,19,labeled_summary/entmax/alpha_0.50/node_0.02/067_labeled_summary_graph.pt,summary_graphs/entmax/alpha_0.50/node_0.02/067_summary_graph.pt,gemma-4-31b-it,0.2,one_pass
,068.pt,068,dataset/analogies/068.pt,ok,9,14,labeled_summary/entmax/alpha_0.50/node_0.02/068_labeled_summary_graph.pt,summary_graphs/entmax/alpha_0.50/node_0.02/068_summary_graph.pt,gemma-4-31b-it,0.2,one_pass
,069.pt,069,dataset/analogies/069.pt,ok,13,16,labeled_summary/entmax/alpha_0.50/node_0.02/069_labeled_summary_graph.pt,summary_graphs/entmax/alpha_0.50/node_0.02/069_summary_graph.pt,gemma-4-31b-it,0.2,one_pass
,070.pt,070,dataset/analogies/070.pt,ok,10,14,labeled_summary/entmax/alpha_0.50/node_0.02/070_labeled_summary_graph.pt,summary_graphs/entmax/alpha_0.50/node_0.02/070_summary_graph.pt,gemma-4-31b-it,0.2,one_pass
,072.pt,072,dataset/analogies/072.pt,ok,13,17,labeled_summary/entmax/alpha_0.50/node_0.02/072_labeled_summary_graph.pt,summary_graphs/entmax/alpha_0.50/node_0.02/072_summary_graph.pt,gemma-4-31b-it,0.2,one_pass
,073.pt,073,dataset/analogies/073.pt,ok,17,22,labeled_summary/entmax/alpha_0.50/node_0.02/073_labeled_summary_graph.pt,summary_graphs/entmax/alpha_0.50/node_0.02/073_summary_graph.pt,gemma-4-31b-it,0.2,one_pass
,074.pt,074,dataset/analogies/074.pt,ok,13,16,labeled_summary/entmax/alpha_0.50/node_0.02/074_labeled_summary_graph.pt,summary_graphs/entmax/alpha_0.50/node_0.02/074_summary_graph.pt,gemma-4-31b-it,0.2,one_pass
,075.pt,075,dataset/analogies/075.pt,ok,9,14,labeled_summary/entmax/alpha_0.50/node_0.02/075_labeled_summary_graph.pt,summary_graphs/entmax/alpha_0.50/node_0.02/075_summary_graph.pt,gemma-4-31b-it,0.2,one_pass
,076.pt,076,dataset/analogies/076.pt,ok,12,18,labeled_summary/entmax/alpha_0.50/node_0.02/076_labeled_summary_graph.pt,summary_graphs/entmax/alpha_0.50/node_0.02/076_summary_graph.pt,gemma-4-31b-it,0.2,one_pass
,077.pt,077,dataset/analogies/077.pt,ok,8,15,labeled_summary/entmax/alpha_0.50/node_0.02/077_labeled_summary_graph.pt,summary_graphs/entmax/alpha_0.50/node_0.02/077_summary_graph.pt,gemma-4-31b-it,0.2,one_pass
,078.pt,078,dataset/analogies/078.pt,ok,14,17,labeled_summary/entmax/alpha_0.50/node_0.02/078_labeled_summary_graph.pt,summary_graphs/entmax/alpha_0.50/node_0.02/078_summary_graph.pt,gemma-4-31b-it,0.2,one_pass
,079.pt,079,dataset/analogies/079.pt,ok,14,16,labeled_summary/entmax/alpha_0.50/node_0.02/079_labeled_summary_graph.pt,summary_graphs/entmax/alpha_0.50/node_0.02/079_summary_graph.pt,gemma-4-31b-it,0.2,one_pass
,080.pt,080,dataset/analogies/080.pt,ok,8,12,labeled_summary/entmax/alpha_0.50/node_0.02/080_labeled_summary_graph.pt,summary_graphs/entmax/alpha_0.50/node_0.02/080_summary_graph.pt,gemma-4-31b-it,0.2,one_pass
,082.pt,082,dataset/analogies/082.pt,ok,11,15,labeled_summary/entmax/alpha_0.50/node_0.02/082_labeled_summary_graph.pt,summary_graphs/entmax/alpha_0.50/node_0.02/082_summary_graph.pt,gemma-4-31b-it,0.2,one_pass
,083.pt,083,dataset/analogies/083.pt,ok,8,12,labeled_summary/entmax/alpha_0.50/node_0.02/083_labeled_summary_graph.pt,summary_graphs/entmax/alpha_0.50/node_0.02/083_summary_graph.pt,gemma-4-31b-it,0.2,one_pass
,084.pt,084,dataset/analogies/084.pt,ok,7,11,labeled_summary/entmax/alpha_0.50/node_0.02/084_labeled_summary_graph.pt,summary_graphs/entmax/alpha_0.50/node_0.02/084_summary_graph.pt,gemma-4-31b-it,0.2,one_pass
,085.pt,085,dataset/analogies/085.pt,ok,10,13,labeled_summary/entmax/alpha_0.50/node_0.02/085_labeled_summary_graph.pt,summary_graphs/entmax/alpha_0.50/node_0.02/085_summary_graph.pt,gemma-4-31b-it,0.2,one_pass
,086.pt,086,dataset/analogies/086.pt,ok,11,15,labeled_summary/entmax/alpha_0.50/node_0.02/086_labeled_summary_graph.pt,summary_graphs/entmax/alpha_0.50/node_0.02/086_summary_graph.pt,gemma-4-31b-it,0.2,one_pass
,087.pt,087,dataset/analogies/087.pt,ok,10,15,labeled_summary/entmax/alpha_0.50/node_0.02/087_labeled_summary_graph.pt,summary_graphs/entmax/alpha_0.50/node_0.02/087_summary_graph.pt,gemma-4-31b-it,0.2,one_pass
,088.pt,088,dataset/analogies/088.pt,ok,5,9,labeled_summary/entmax/alpha_0.50/node_0.02/088_labeled_summary_graph.pt,summary_graphs/entmax/alpha_0.50/node_0.02/088_summary_graph.pt,gemma-4-31b-it,0.2,one_pass
,089.pt,089,dataset/analogies/089.pt,ok,10,12,labeled_summary/entmax/alpha_0.50/node_0.02/089_labeled_summary_graph.pt,summary_graphs/entmax/alpha_0.50/node_0.02/089_summary_graph.pt,gemma-4-31b-it,0.2,one_pass
,090.pt,090,dataset/analogies/090.pt,ok,10,12,labeled_summary/entmax/alpha_0.50/node_0.02/090_labeled_summary_graph.pt,summary_graphs/entmax/alpha_0.50/node_0.02/090_summary_graph.pt,gemma-4-31b-it,0.2,one_pass
,092.pt,092,dataset/analogies/092.pt,ok,12,14,labeled_summary/entmax/alpha_0.50/node_0.02/092_labeled_summary_graph.pt,summary_graphs/entmax/alpha_0.50/node_0.02/092_summary_graph.pt,gemma-4-31b-it,0.2,one_pass
,093.pt,093,dataset/analogies/093.pt,ok,8,11,labeled_summary/entmax/alpha_0.50/node_0.02/093_labeled_summary_graph.pt,summary_graphs/entmax/alpha_0.50/node_0.02/093_summary_graph.pt,gemma-4-31b-it,0.2,one_pass
,094.pt,094,dataset/analogies/094.pt,ok,10,12,labeled_summary/entmax/alpha_0.50/node_0.02/094_labeled_summary_graph.pt,summary_graphs/entmax/alpha_0.50/node_0.02/094_summary_graph.pt,gemma-4-31b-it,0.2,one_pass
,095.pt,095,dataset/analogies/095.pt,ok,13,15,labeled_summary/entmax/alpha_0.50/node_0.02/095_labeled_summary_graph.pt,summary_graphs/entmax/alpha_0.50/node_0.02/095_summary_graph.pt,gemma-4-31b-it,0.2,one_pass
,096.pt,096,dataset/analogies/096.pt,ok,12,15,labeled_summary/entmax/alpha_0.50/node_0.02/096_labeled_summary_graph.pt,summary_graphs/entmax/alpha_0.50/node_0.02/096_summary_graph.pt,gemma-4-31b-it,0.2,one_pass
,097.pt,097,dataset/analogies/097.pt,ok,12,15,labeled_summary/entmax/alpha_0.50/node_0.02/097_labeled_summary_graph.pt,summary_graphs/entmax/alpha_0.50/node_0.02/097_summary_graph.pt,gemma-4-31b-it,0.2,one_pass
,098.pt,098,dataset/analogies/098.pt,ok,13,15,labeled_summary/entmax/alpha_0.50/node_0.02/098_labeled_summary_graph.pt,summary_graphs/entmax/alpha_0.50/node_0.02/098_summary_graph.pt,gemma-4-31b-it,0.2,one_pass
,099.pt,099,dataset/analogies/099.pt,ok,11,13,labeled_summary/entmax/alpha_0.50/node_0.02/099_labeled_summary_graph.pt,summary_graphs/entmax/alpha_0.50/node_0.02/099_summary_graph.pt,gemma-4-31b-it,0.2,one_pass
