normalization,graph_file,graph_stem,graph_path,status,num_supernodes,summary_graph_path,feature_supernodes
softmax,087.pt,087,dataset/analogies/087.pt,ok,22,summary_graphs/softmax/alpha_0.50/node_0.02/087_summary_graph.pt,9
softmax,088.pt,088,dataset/analogies/088.pt,ok,18,summary_graphs/softmax/alpha_0.50/node_0.02/088_summary_graph.pt,5
softmax,089.pt,089,dataset/analogies/089.pt,ok,13,summary_graphs/softmax/alpha_0.50/node_0.02/089_summary_graph.pt,8
softmax,090.pt,090,dataset/analogies/090.pt,ok,13,summary_graphs/softmax/alpha_0.50/node_0.02/090_summary_graph.pt,10
softmax,091.pt,091,dataset/analogies/091.pt,ok,16,summary_graphs/softmax/alpha_0.50/node_0.02/091_summary_graph.pt,14
softmax,092.pt,092,dataset/analogies/092.pt,ok,13,summary_graphs/softmax/alpha_0.50/node_0.02/092_summary_graph.pt,11
softmax,093.pt,093,dataset/analogies/093.pt,ok,13,summary_graphs/softmax/alpha_0.50/node_0.02/093_summary_graph.pt,9
softmax,094.pt,094,dataset/analogies/094.pt,ok,13,summary_graphs/softmax/alpha_0.50/node_0.02/094_summary_graph.pt,10
softmax,095.pt,095,dataset/analogies/095.pt,ok,17,summary_graphs/softmax/alpha_0.50/node_0.02/095_summary_graph.pt,13
softmax,096.pt,096,dataset/analogies/096.pt,ok,19,summary_graphs/softmax/alpha_0.50/node_0.02/096_summary_graph.pt,10
softmax,097.pt,097,dataset/analogies/097.pt,ok,19,summary_graphs/softmax/alpha_0.50/node_0.02/097_summary_graph.pt,11
softmax,098.pt,098,dataset/analogies/098.pt,ok,15,summary_graphs/softmax/alpha_0.50/node_0.02/098_summary_graph.pt,12
softmax,099.pt,099,dataset/analogies/099.pt,ok,13,summary_graphs/softmax/alpha_0.50/node_0.02/099_summary_graph.pt,11
entmax,000.pt,000,dataset/analogies/000.pt,skipped_existing,17,summary_graphs/entmax/alpha_0.50/node_0.02/000_summary_graph.pt,
entmax,001.pt,001,dataset/analogies/001.pt,ok,15,summary_graphs/entmax/alpha_0.50/node_0.02/001_summary_graph.pt,12
entmax,002.pt,002,dataset/analogies/002.pt,ok,15,summary_graphs/entmax/alpha_0.50/node_0.02/002_summary_graph.pt,13
entmax,003.pt,003,dataset/analogies/003.pt,ok,19,summary_graphs/entmax/alpha_0.50/node_0.02/003_summary_graph.pt,15
entmax,004.pt,004,dataset/analogies/004.pt,ok,17,summary_graphs/entmax/alpha_0.50/node_0.02/004_summary_graph.pt,14
entmax,005.pt,005,dataset/analogies/005.pt,ok,19,summary_graphs/entmax/alpha_0.50/node_0.02/005_summary_graph.pt,12
entmax,006.pt,006,dataset/analogies/006.pt,ok,13,summary_graphs/entmax/alpha_0.50/node_0.02/006_summary_graph.pt,11
entmax,007.pt,007,dataset/analogies/007.pt,ok,17,summary_graphs/entmax/alpha_0.50/node_0.02/007_summary_graph.pt,14
entmax,008.pt,008,dataset/analogies/008.pt,ok,16,summary_graphs/entmax/alpha_0.50/node_0.02/008_summary_graph.pt,14
entmax,009.pt,009,dataset/analogies/009.pt,ok,19,summary_graphs/entmax/alpha_0.50/node_0.02/009_summary_graph.pt,16
entmax,010.pt,010,dataset/analogies/010.pt,ok,16,summary_graphs/entmax/alpha_0.50/node_0.02/010_summary_graph.pt,12
entmax,011.pt,011,dataset/analogies/011.pt,ok,12,summary_graphs/entmax/alpha_0.50/node_0.02/011_summary_graph.pt,8
entmax,012.pt,012,dataset/analogies/012.pt,ok,21,summary_graphs/entmax/alpha_0.50/node_0.02/012_summary_graph.pt,16
entmax,013.pt,013,dataset/analogies/013.pt,ok,12,summary_graphs/entmax/alpha_0.50/node_0.02/013_summary_graph.pt,9
entmax,014.pt,014,dataset/analogies/014.pt,ok,14,summary_graphs/entmax/alpha_0.50/node_0.02/014_summary_graph.pt,11
entmax,015.pt,015,dataset/analogies/015.pt,ok,22,summary_graphs/entmax/alpha_0.50/node_0.02/015_summary_graph.pt,11
entmax,016.pt,016,dataset/analogies/016.pt,ok,12,summary_graphs/entmax/alpha_0.50/node_0.02/016_summary_graph.pt,9
entmax,017.pt,017,dataset/analogies/017.pt,ok,15,summary_graphs/entmax/alpha_0.50/node_0.02/017_summary_graph.pt,13
entmax,018.pt,018,dataset/analogies/018.pt,ok,14,summary_graphs/entmax/alpha_0.50/node_0.02/018_summary_graph.pt,11
entmax,019.pt,019,dataset/analogies/019.pt,ok,15,summary_graphs/entmax/alpha_0.50/node_0.02/019_summary_graph.pt,12
entmax,020.pt,020,dataset/analogies/020.pt,ok,23,summary_graphs/entmax/alpha_0.50/node_0.02/020_summary_graph.pt,15
entmax,021.pt,021,dataset/analogies/021.pt,ok,15,summary_graphs/entmax/alpha_0.50/node_0.02/021_summary_graph.pt,13
entmax,022.pt,022,dataset/analogies/022.pt,ok,21,summary_graphs/entmax/alpha_0.50/node_0.02/022_summary_graph.pt,13
entmax,023.pt,023,dataset/analogies/023.pt,ok,13,summary_graphs/entmax/alpha_0.50/node_0.02/023_summary_graph.pt,10
entmax,024.pt,024,dataset/analogies/024.pt,ok,20,summary_graphs/entmax/alpha_0.50/node_0.02/024_summary_graph.pt,18
entmax,025.pt,025,dataset/analogies/025.pt,ok,24,summary_graphs/entmax/alpha_0.50/node_0.02/025_summary_graph.pt,14
entmax,026.pt,026,dataset/analogies/026.pt,ok,13,summary_graphs/entmax/alpha_0.50/node_0.02/026_summary_graph.pt,11
entmax,027.pt,027,dataset/analogies/027.pt,ok,20,summary_graphs/entmax/alpha_0.50/node_0.02/027_summary_graph.pt,15
entmax,028.pt,028,dataset/analogies/028.pt,ok,15,summary_graphs/entmax/alpha_0.50/node_0.02/028_summary_graph.pt,13
entmax,029.pt,029,dataset/analogies/029.pt,ok,20,summary_graphs/entmax/alpha_0.50/node_0.02/029_summary_graph.pt,14
entmax,030.pt,030,dataset/analogies/030.pt,ok,12,summary_graphs/entmax/alpha_0.50/node_0.02/030_summary_graph.pt,10
entmax,031.pt,031,dataset/analogies/031.pt,ok,16,summary_graphs/entmax/alpha_0.50/node_0.02/031_summary_graph.pt,10
entmax,032.pt,032,dataset/analogies/032.pt,ok,10,summary_graphs/entmax/alpha_0.50/node_0.02/032_summary_graph.pt,8
entmax,033.pt,033,dataset/analogies/033.pt,ok,13,summary_graphs/entmax/alpha_0.50/node_0.02/033_summary_graph.pt,9
entmax,034.pt,034,dataset/analogies/034.pt,ok,13,summary_graphs/entmax/alpha_0.50/node_0.02/034_summary_graph.pt,10
entmax,035.pt,035,dataset/analogies/035.pt,ok,10,summary_graphs/entmax/alpha_0.50/node_0.02/035_summary_graph.pt,8
entmax,036.pt,036,dataset/analogies/036.pt,ok,14,summary_graphs/entmax/alpha_0.50/node_0.02/036_summary_graph.pt,12
entmax,037.pt,037,dataset/analogies/037.pt,ok,11,summary_graphs/entmax/alpha_0.50/node_0.02/037_summary_graph.pt,9
entmax,038.pt,038,dataset/analogies/038.pt,ok,12,summary_graphs/entmax/alpha_0.50/node_0.02/038_summary_graph.pt,9
entmax,039.pt,039,dataset/analogies/039.pt,ok,13,summary_graphs/entmax/alpha_0.50/node_0.02/039_summary_graph.pt,11
entmax,040.pt,040,dataset/analogies/040.pt,ok,17,summary_graphs/entmax/alpha_0.50/node_0.02/040_summary_graph.pt,13
entmax,041.pt,041,dataset/analogies/041.pt,ok,15,summary_graphs/entmax/alpha_0.50/node_0.02/041_summary_graph.pt,12
entmax,042.pt,042,dataset/analogies/042.pt,ok,12,summary_graphs/entmax/alpha_0.50/node_0.02/042_summary_graph.pt,9
entmax,043.pt,043,dataset/analogies/043.pt,ok,14,summary_graphs/entmax/alpha_0.50/node_0.02/043_summary_graph.pt,8
entmax,044.pt,044,dataset/analogies/044.pt,ok,12,summary_graphs/entmax/alpha_0.50/node_0.02/044_summary_graph.pt,10
entmax,045.pt,045,dataset/analogies/045.pt,ok,14,summary_graphs/entmax/alpha_0.50/node_0.02/045_summary_graph.pt,11
entmax,046.pt,046,dataset/analogies/046.pt,ok,11,summary_graphs/entmax/alpha_0.50/node_0.02/046_summary_graph.pt,8
entmax,047.pt,047,dataset/analogies/047.pt,ok,13,summary_graphs/entmax/alpha_0.50/node_0.02/047_summary_graph.pt,9
entmax,048.pt,048,dataset/analogies/048.pt,ok,15,summary_graphs/entmax/alpha_0.50/node_0.02/048_summary_graph.pt,10
entmax,049.pt,049,dataset/analogies/049.pt,ok,11,summary_graphs/entmax/alpha_0.50/node_0.02/049_summary_graph.pt,9
entmax,050.pt,050,dataset/analogies/050.pt,ok,12,summary_graphs/entmax/alpha_0.50/node_0.02/050_summary_graph.pt,10
entmax,051.pt,051,dataset/analogies/051.pt,ok,14,summary_graphs/entmax/alpha_0.50/node_0.02/051_summary_graph.pt,10
entmax,052.pt,052,dataset/analogies/052.pt,ok,16,summary_graphs/entmax/alpha_0.50/node_0.02/052_summary_graph.pt,14
entmax,053.pt,053,dataset/analogies/053.pt,ok,12,summary_graphs/entmax/alpha_0.50/node_0.02/053_summary_graph.pt,9
entmax,054.pt,054,dataset/analogies/054.pt,ok,17,summary_graphs/entmax/alpha_0.50/node_0.02/054_summary_graph.pt,14
entmax,055.pt,055,dataset/analogies/055.pt,ok,13,summary_graphs/entmax/alpha_0.50/node_0.02/055_summary_graph.pt,11
entmax,056.pt,056,dataset/analogies/056.pt,ok,18,summary_graphs/entmax/alpha_0.50/node_0.02/056_summary_graph.pt,14
entmax,057.pt,057,dataset/analogies/057.pt,ok,12,summary_graphs/entmax/alpha_0.50/node_0.02/057_summary_graph.pt,9
entmax,058.pt,058,dataset/analogies/058.pt,ok,18,summary_graphs/entmax/alpha_0.50/node_0.02/058_summary_graph.pt,14
entmax,059.pt,059,dataset/analogies/059.pt,ok,16,summary_graphs/entmax/alpha_0.50/node_0.02/059_summary_graph.pt,13
entmax,060.pt,060,dataset/analogies/060.pt,ok,15,summary_graphs/entmax/alpha_0.50/node_0.02/060_summary_graph.pt,13
entmax,061.pt,061,dataset/analogies/061.pt,ok,19,summary_graphs/entmax/alpha_0.50/node_0.02/061_summary_graph.pt,15
entmax,062.pt,062,dataset/analogies/062.pt,ok,19,summary_graphs/entmax/alpha_0.50/node_0.02/062_summary_graph.pt,14
entmax,063.pt,063,dataset/analogies/063.pt,ok,17,summary_graphs/entmax/alpha_0.50/node_0.02/063_summary_graph.pt,12
entmax,064.pt,064,dataset/analogies/064.pt,ok,16,summary_graphs/entmax/alpha_0.50/node_0.02/064_summary_graph.pt,14
entmax,065.pt,065,dataset/analogies/065.pt,ok,16,summary_graphs/entmax/alpha_0.50/node_0.02/065_summary_graph.pt,12
entmax,066.pt,066,dataset/analogies/066.pt,ok,15,summary_graphs/entmax/alpha_0.50/node_0.02/066_summary_graph.pt,10
entmax,067.pt,067,dataset/analogies/067.pt,ok,19,summary_graphs/entmax/alpha_0.50/node_0.02/067_summary_graph.pt,15
entmax,068.pt,068,dataset/analogies/068.pt,ok,14,summary_graphs/entmax/alpha_0.50/node_0.02/068_summary_graph.pt,9
entmax,069.pt,069,dataset/analogies/069.pt,ok,16,summary_graphs/entmax/alpha_0.50/node_0.02/069_summary_graph.pt,13
entmax,070.pt,070,dataset/analogies/070.pt,ok,14,summary_graphs/entmax/alpha_0.50/node_0.02/070_summary_graph.pt,10
entmax,071.pt,071,dataset/analogies/071.pt,ok,16,summary_graphs/entmax/alpha_0.50/node_0.02/071_summary_graph.pt,14
entmax,072.pt,072,dataset/analogies/072.pt,ok,17,summary_graphs/entmax/alpha_0.50/node_0.02/072_summary_graph.pt,13
entmax,073.pt,073,dataset/analogies/073.pt,ok,22,summary_graphs/entmax/alpha_0.50/node_0.02/073_summary_graph.pt,17
entmax,074.pt,074,dataset/analogies/074.pt,ok,16,summary_graphs/entmax/alpha_0.50/node_0.02/074_summary_graph.pt,13
entmax,075.pt,075,dataset/analogies/075.pt,ok,14,summary_graphs/entmax/alpha_0.50/node_0.02/075_summary_graph.pt,9
entmax,076.pt,076,dataset/analogies/076.pt,ok,18,summary_graphs/entmax/alpha_0.50/node_0.02/076_summary_graph.pt,12
entmax,077.pt,077,dataset/analogies/077.pt,ok,15,summary_graphs/entmax/alpha_0.50/node_0.02/077_summary_graph.pt,8
entmax,078.pt,078,dataset/analogies/078.pt,ok,17,summary_graphs/entmax/alpha_0.50/node_0.02/078_summary_graph.pt,14
entmax,079.pt,079,dataset/analogies/079.pt,ok,16,summary_graphs/entmax/alpha_0.50/node_0.02/079_summary_graph.pt,14
entmax,080.pt,080,dataset/analogies/080.pt,ok,12,summary_graphs/entmax/alpha_0.50/node_0.02/080_summary_graph.pt,8
entmax,081.pt,081,dataset/analogies/081.pt,ok,16,summary_graphs/entmax/alpha_0.50/node_0.02/081_summary_graph.pt,12
entmax,082.pt,082,dataset/analogies/082.pt,ok,15,summary_graphs/entmax/alpha_0.50/node_0.02/082_summary_graph.pt,11
entmax,083.pt,083,dataset/analogies/083.pt,ok,12,summary_graphs/entmax/alpha_0.50/node_0.02/083_summary_graph.pt,8
