graph_stem,summary_graph_path,prune_graph_path,solver,matched_k,num_nodes,n_supernodes,n_superedges,L,L_atom,L_atom_norm,sil_raw,sil_norm,L_causal,internalized_mass_fraction,dag_removed_mass_fraction,final_retained_mass_fraction,raw_superedge_mass,final_superedge_mass,total_fine_edge_mass
057,summary_graphs/entmax/alpha_0.50/node_0.02/057_summary_graph.pt,pruned_graphs/entmax/alpha_0.50/node_0.02/057_prune_graph.pt,baseline-spectral-adj,9,34,12,55,0.46598373032922064,-46.255916595458984,0.8519960202058534,-0.5521264792056105,0.22393676039719473,0.07997144045258783,0.07997144045258783,0.12778221009512813,0.6508786882703937,154.79841232299805,135.01792907714844,207.43946838378906
057,summary_graphs/entmax/alpha_0.50/node_0.02/057_summary_graph.pt,pruned_graphs/entmax/alpha_0.50/node_0.02/057_prune_graph.pt,baseline-random-same-size,9,34,12,54,0.4156686172866875,-84.08878326416016,0.7769872227406851,-0.7537250891684636,0.1231374554157682,0.05435001183268994,0.05435001183268994,0.1726429654778799,0.6571919327993675,164.7747459411621,136.32754516601562,207.43946838378906
058,summary_graphs/entmax/alpha_0.50/node_0.02/058_summary_graph.pt,pruned_graphs/entmax/alpha_0.50/node_0.02/058_prune_graph.pt,ours-summary,14,37,18,132,0.31275275520599743,-111.22984313964844,0.5760592176478322,-0.05930104302879006,0.470349478485605,0.049446292764162736,0.049446292764162736,0.11569395221841022,0.7465163778907848,157.6779556274414,139.4355697631836,186.7816619873047
058,summary_graphs/entmax/alpha_0.50/node_0.02/058_summary_graph.pt,pruned_graphs/entmax/alpha_0.50/node_0.02/058_prune_graph.pt,baseline-spectral-cosine,14,37,18,121,0.39131740812651705,-74.87283325195312,0.6675459435616351,-0.2275595970068415,0.38622020149657926,0.11508887269139902,0.11508887269139902,0.17135440615976158,0.6056909883347849,136.52636337280273,113.1319694519043,186.7816619873047
058,summary_graphs/entmax/alpha_0.50/node_0.02/058_summary_graph.pt,pruned_graphs/entmax/alpha_0.50/node_0.02/058_prune_graph.pt,baseline-kmeans,14,37,18,134,0.38712569900050553,-61.063575744628906,0.702294812865303,0.38895445468374634,0.6944772273418731,0.071956585135708,0.071956585135708,0.1586303943225982,0.696450443320328,154.6100196838379,130.08417129516602,186.7816619873047
058,summary_graphs/entmax/alpha_0.50/node_0.02/058_summary_graph.pt,pruned_graphs/entmax/alpha_0.50/node_0.02/058_prune_graph.pt,baseline-spectral-adj,14,37,18,130,0.4558027521605432,-19.003591537475586,0.8081322592178936,-0.5934527326713265,0.20327363366433676,0.10347324510319289,0.10347324510319289,0.12622760791012544,0.6408102763165817,136.98259353637695,119.69160842895508,186.7816619873047
058,summary_graphs/entmax/alpha_0.50/node_0.02/058_summary_graph.pt,pruned_graphs/entmax/alpha_0.50/node_0.02/058_prune_graph.pt,baseline-random-same-size,14,37,18,137,0.3880218643336312,-52.35504913330078,0.7242085432846898,-0.4955589506644957,0.25222052466775213,0.05183518538257257,0.05183518538257257,0.08881105871582912,0.7315297833341489,149.95391464233398,136.63634872436523,186.7816619873047
059,summary_graphs/entmax/alpha_0.50/node_0.02/059_summary_graph.pt,pruned_graphs/entmax/alpha_0.50/node_0.02/059_prune_graph.pt,ours-summary,13,33,16,110,0.42396314072257274,-68.63739776611328,0.7980038147726392,0.18137369473012002,0.59068684736506,0.04992246667250633,0.04992246667250633,0.03572609071854044,0.8612941301855755,158.31668853759766,152.66065216064453,177.24566650390625
059,summary_graphs/entmax/alpha_0.50/node_0.02/059_summary_graph.pt,pruned_graphs/entmax/alpha_0.50/node_0.02/059_prune_graph.pt,baseline-spectral-cosine,13,33,16,108,0.4179057208109721,-91.22389221191406,0.7510197463936712,-0.2373480550480072,0.3813259724759964,0.08479169522827297,0.08479169522827297,0.056029486214745405,0.7399167284494143,138.93128204345703,131.14703369140625,177.24566650390625
059,summary_graphs/entmax/alpha_0.50/node_0.02/059_summary_graph.pt,pruned_graphs/entmax/alpha_0.50/node_0.02/059_prune_graph.pt,baseline-kmeans,13,33,16,115,0.4379703974250165,-82.75373077392578,0.7686392322817676,0.47616109452782146,0.7380805472639107,0.10730156256826538,0.10730156256826538,0.0862829516671025,0.7635924483977751,148.12403106689453,135.34345245361328,177.24566650390625
059,summary_graphs/entmax/alpha_0.50/node_0.02/059_summary_graph.pt,pruned_graphs/entmax/alpha_0.50/node_0.02/059_prune_graph.pt,baseline-spectral-adj,13,33,16,101,0.459411397664495,-68.62274169921875,0.7980342862308495,-0.49792542477782803,0.251037287611086,0.12078850909814051,0.12078850909814051,0.08643756491673231,0.7051350933008448,136.80744171142578,124.98213958740234,177.24566650390625
059,summary_graphs/entmax/alpha_0.50/node_0.02/059_summary_graph.pt,pruned_graphs/entmax/alpha_0.50/node_0.02/059_prune_graph.pt,baseline-random-same-size,13,33,16,112,0.44196958641538,-50.10990524291992,0.8365444325281293,-0.5629269112279137,0.21853654438604314,0.04739474030263071,0.04739474030263071,0.11955500599668695,0.7544927363805629,151.8897476196289,133.7305679321289,177.24566650390625
060,summary_graphs/entmax/alpha_0.50/node_0.02/060_summary_graph.pt,pruned_graphs/entmax/alpha_0.50/node_0.02/060_prune_graph.pt,ours-summary,13,35,15,92,0.2929674335542132,-70.177734375,0.5359736538960184,-0.0582806771436923,0.47085966142815383,0.04996121321240794,0.04996121321240794,0.27509993014563516,0.5965482153289215,104.89352416992188,76.03732299804688,127.462158203125
060,summary_graphs/entmax/alpha_0.50/node_0.02/060_summary_graph.pt,pruned_graphs/entmax/alpha_0.50/node_0.02/060_prune_graph.pt,baseline-spectral-cosine,13,35,15,93,0.3246861299656694,-61.025394439697266,0.5614699068662249,-0.09274440298967856,0.4536277985051607,0.08790235306511392,0.08790235306511392,0.24230551873398445,0.5749244615340414,96.71591186523438,73.28111267089844,127.462158203125
060,summary_graphs/entmax/alpha_0.50/node_0.02/060_summary_graph.pt,pruned_graphs/entmax/alpha_0.50/node_0.02/060_prune_graph.pt,baseline-kmeans,13,35,15,94,0.32681962845837165,-49.960750579833984,0.5922934032722218,0.4225154966778703,0.7112577483389352,0.061345853644521484,0.061345853644521484,0.2807876174417667,0.5787410096057155,102.56716918945312,73.767578125,127.462158203125
060,summary_graphs/entmax/alpha_0.50/node_0.02/060_summary_graph.pt,pruned_graphs/entmax/alpha_0.50/node_0.02/060_prune_graph.pt,baseline-spectral-adj,13,35,15,88,0.4396362778248966,-15.728935241699219,0.6876552902619733,-0.6187958742157971,0.19060206289210146,0.19161726538781998,0.19161726538781998,0.2886595862710712,0.38069591158527827,68.21533203125,48.524322509765625,127.462158203125
060,summary_graphs/entmax/alpha_0.50/node_0.02/060_summary_graph.pt,pruned_graphs/entmax/alpha_0.50/node_0.02/060_prune_graph.pt,baseline-random-same-size,13,35,15,87,0.36829748708280535,-21.43057632446289,0.6717718371285382,-0.5751011457844342,0.21244942710778292,0.0648231370370725,0.0648231370370725,0.22163169175456524,0.5849479730312114,95.78849792480469,74.55873107910156,127.462158203125
061,summary_graphs/entmax/alpha_0.50/node_0.02/061_summary_graph.pt,pruned_graphs/entmax/alpha_0.50/node_0.02/061_prune_graph.pt,ours-summary,15,37,19,160,0.3268148226313261,-150.84426879882812,0.6038856119793129,-0.28286947074892843,0.3585652646255358,0.04974403328333935,0.04974403328333935,0.035939631061554705,0.8399669216636504,183.5472332239151,176.95061337947845,210.66378784179688
061,summary_graphs/entmax/alpha_0.50/node_0.02/061_summary_graph.pt,pruned_graphs/entmax/alpha_0.50/node_0.02/061_prune_graph.pt,baseline-spectral-cosine,15,37,19,155,0.3773045950108974,-156.00930786132812,0.5948317338940439,-0.29921312986129134,0.35039343506935433,0.159777456127751,0.159777456127751,0.06654543119758492,0.6526193530059476,147.28436660766602,137.4832649230957,210.66378784179688
061,summary_graphs/entmax/alpha_0.50/node_0.02/061_summary_graph.pt,pruned_graphs/entmax/alpha_0.50/node_0.02/061_prune_graph.pt,baseline-kmeans,15,37,19,158,0.3849975225258144,-96.8298568725586,0.6985683095222888,0.38603511178191724,0.6930175558909586,0.07142673552933998,0.07142673552933998,0.12334819989677762,0.7242959939219091,174.05192983150482,152.58293759822845,210.66378784179688
061,summary_graphs/entmax/alpha_0.50/node_0.02/061_summary_graph.pt,pruned_graphs/entmax/alpha_0.50/node_0.02/061_prune_graph.pt,baseline-spectral-adj,15,37,19,153,0.4429502200427256,-45.462890625,0.788610284706506,-0.514019918380442,0.24299004080977898,0.09729015537894528,0.09729015537894528,0.12781874118503725,0.6653982973883139,160.71811258792877,140.17532575130463,210.66378784179688
061,summary_graphs/entmax/alpha_0.50/node_0.02/061_summary_graph.pt,pruned_graphs/entmax/alpha_0.50/node_0.02/061_prune_graph.pt,baseline-random-same-size,15,37,19,154,0.3794836230470271,-103.00686645507812,0.6877405992887553,-0.6346102742413078,0.1826948628793461,0.0712266468052989,0.0712266468052989,0.1868808368207017,0.6787306394149542,175.8462644815445,142.98396742343903,210.66378784179688
