graph_file,graph_stem,graph_path,summary_graph_path,labeled_summary_graph_path,model_name,temperature,label_scheme,status,num_supernodes,labelled_supernodes
020.pt,020,dataset/analogies/020.pt,summary_graphs/analogies/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/020.pt,summary_graphs/analogies/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/020.pt,gemma-4-31b-it,0.2,one_pass,ok,20,12
021.pt,021,dataset/analogies/021.pt,summary_graphs/analogies/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/021.pt,summary_graphs/analogies/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/021.pt,gemma-4-31b-it,0.2,one_pass,ok,14,12
022.pt,022,dataset/analogies/022.pt,summary_graphs/analogies/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/022.pt,summary_graphs/analogies/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/022.pt,gemma-4-31b-it,0.2,one_pass,ok,20,12
023.pt,023,dataset/analogies/023.pt,summary_graphs/analogies/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/023.pt,summary_graphs/analogies/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/023.pt,gemma-4-31b-it,0.2,one_pass,ok,13,10
024.pt,024,dataset/analogies/024.pt,summary_graphs/analogies/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/024.pt,summary_graphs/analogies/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/024.pt,gemma-4-31b-it,0.2,one_pass,ok,16,14
025.pt,025,dataset/analogies/025.pt,summary_graphs/analogies/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/025.pt,summary_graphs/analogies/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/025.pt,gemma-4-31b-it,0.2,one_pass,ok,23,13
026.pt,026,dataset/analogies/026.pt,summary_graphs/analogies/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/026.pt,summary_graphs/analogies/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/026.pt,gemma-4-31b-it,0.2,one_pass,ok,14,12
027.pt,027,dataset/analogies/027.pt,summary_graphs/analogies/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/027.pt,summary_graphs/analogies/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/027.pt,gemma-4-31b-it,0.2,one_pass,ok,17,12
028.pt,028,dataset/analogies/028.pt,summary_graphs/analogies/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/028.pt,summary_graphs/analogies/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/028.pt,gemma-4-31b-it,0.2,one_pass,ok,13,11
029.pt,029,dataset/analogies/029.pt,summary_graphs/analogies/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/029.pt,summary_graphs/analogies/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/029.pt,gemma-4-31b-it,0.2,one_pass,ok,19,13
030.pt,030,dataset/analogies/030.pt,summary_graphs/analogies/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/030.pt,summary_graphs/analogies/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/030.pt,gemma-4-31b-it,0.2,one_pass,ok,9,7
031.pt,031,dataset/analogies/031.pt,summary_graphs/analogies/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/031.pt,summary_graphs/analogies/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/031.pt,gemma-4-31b-it,0.2,one_pass,ok,19,13
032.pt,032,dataset/analogies/032.pt,summary_graphs/analogies/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/032.pt,summary_graphs/analogies/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/032.pt,gemma-4-31b-it,0.2,one_pass,ok,13,11
033.pt,033,dataset/analogies/033.pt,summary_graphs/analogies/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/033.pt,summary_graphs/analogies/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/033.pt,gemma-4-31b-it,0.2,one_pass,ok,14,10
034.pt,034,dataset/analogies/034.pt,summary_graphs/analogies/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/034.pt,summary_graphs/analogies/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/034.pt,gemma-4-31b-it,0.2,one_pass,ok,14,11
035.pt,035,dataset/analogies/035.pt,summary_graphs/analogies/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/035.pt,summary_graphs/analogies/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/035.pt,gemma-4-31b-it,0.2,one_pass,ok,12,10
036.pt,036,dataset/analogies/036.pt,summary_graphs/analogies/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/036.pt,summary_graphs/analogies/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/036.pt,gemma-4-31b-it,0.2,one_pass,ok,12,10
037.pt,037,dataset/analogies/037.pt,summary_graphs/analogies/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/037.pt,summary_graphs/analogies/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/037.pt,gemma-4-31b-it,0.2,one_pass,ok,10,8
038.pt,038,dataset/analogies/038.pt,summary_graphs/analogies/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/038.pt,summary_graphs/analogies/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/038.pt,gemma-4-31b-it,0.2,one_pass,ok,12,9
039.pt,039,dataset/analogies/039.pt,summary_graphs/analogies/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/039.pt,summary_graphs/analogies/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/039.pt,gemma-4-31b-it,0.2,one_pass,ok,14,12
040.pt,040,dataset/analogies/040.pt,summary_graphs/analogies/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/040.pt,summary_graphs/analogies/mntss/clt-gemma-2-2b-426k/entmax/alpha_0.50/node_0.02/040.pt,gemma-4-31b-it,0.2,one_pass,ok,15,11
